,Year,Month,CA Rural,CA Urbano,CANA Rural,CANA Urbano
0,1992,1,115.02036984575255,173.22125361549388,215.1048299264305,361.34416655691496
1,1992,2,115.8175739303974,174.6066868613613,216.79583859991044,364.03599101045586
2,1992,3,117.32775309558633,176.26225764468342,218.9025607080337,366.5502237606707
3,1992,4,118.89998346256424,177.96239653326907,220.8042257622152,368.7364066790899
4,1992,5,117.38927905191713,177.16463089160237,220.0638957119799,369.09067345352423
5,1992,6,117.5613805602654,177.65033941064465,221.11334098447207,370.9508934807096
6,1992,7,117.33835323996054,177.46720547582296,221.60818729904034,371.8604773339867
7,1992,8,116.22345922880355,176.77307381404418,221.34894653243174,372.6796020275701
8,1992,9,116.12601738756156,176.77886630885436,223.68374942960168,378.02523823160533
9,1992,10,116.91638659815193,177.44728822631305,225.58723384771906,380.608716341972
10,1992,11,118.83411612515798,179.17489910564942,228.52257618296937,384.04307518453993
11,1992,12,123.67827455069757,184.09372038319572,234.5361342979303,391.1732620301477
12,1993,1,126.51814334798958,187.69395338594393,239.35532233732187,399.94517448680296
13,1993,2,126.04800880264781,187.8995144868816,239.61655473560484,401.3959943321567
14,1993,3,123.61789568685184,186.15456981950797,238.05742974168183,401.02128096615155
15,1993,4,121.9352941587353,184.75349609459195,236.6263895874872,399.91632190954203
16,1993,5,122.97454040948396,185.92233403049445,237.9261642870381,401.4856305527496
17,1993,6,123.80712487450498,186.59618879840625,239.46027723384927,403.33357196957104
18,1993,7,123.66680669214999,186.3265544941078,239.8616509910931,403.8258834808607
19,1993,8,123.18045257338292,186.42721774810138,240.07477397118612,405.21543615252597
20,1993,9,124.24604103272162,187.39453475147138,243.20462964868392,410.6254229970108
21,1993,10,123.87394848641276,187.0757482094348,243.91699519222368,412.1482143357667
22,1993,11,124.50678359828623,187.80232717088643,245.43001445406767,414.32907236373217
23,1993,12,127.69468320486267,190.80550188174456,249.13169445885464,418.25345471499264
24,1994,1,129.22329402318778,192.91695201687162,251.2499692283955,421.5836864829041
25,1994,2,127.27675873540106,190.8880625392436,250.47553432211288,421.8563746866629
26,1994,3,126.39078014048036,190.32612945700237,250.59487260662257,423.36526838183283
27,1994,4,125.70972772315602,189.8045084989349,250.17970916534955,423.14141804126604
28,1994,5,125.71399763081556,189.63145118199043,250.48993519451142,423.3616252917774
29,1994,6,126.34135101853155,190.3571973665174,251.85826423522545,425.21647973443316
30,1994,7,127.37577274066253,191.60831391003734,253.25563039728524,426.9637100187434
31,1994,8,127.7530512077196,192.13205893887908,254.29063101321844,428.6934381044347
32,1994,9,128.011001490732,192.43597860894687,256.0034690475488,432.41677446941856
33,1994,10,127.9971806751193,192.7465921014291,257.01231078853687,434.4310030473529
34,1994,11,129.08674524412353,193.90169056521034,259.01405415430554,437.00788629496907
35,1994,12,131.02234241365574,195.9808809505353,261.8084429977247,440.3450061846047
36,1995,1,135.75590086512537,203.08584804846234,269.44283788463156,452.03800284556314
37,1995,2,140.67300876771634,211.33659537019042,280.1353006650909,469.04207487444546
38,1995,3,146.4770407306903,220.15417452245703,296.1779107122527,496.6025324064677
39,1995,4,154.80935373537574,231.3903279071337,316.4202104980605,527.486850598613
40,1995,5,162.51706042320097,241.29807680710945,329.02619508499004,544.7758860157182
41,1995,6,169.30456760315008,250.1328629542047,340.35291861648966,560.9181969673555
42,1995,7,173.4119804466403,255.66097174581932,347.3243873593408,571.1338366344096
43,1995,8,174.7973403990158,257.85203595354244,351.85632997776827,578.7948137270796
44,1995,9,176.78609255726766,261.35619328933115,358.647850956408,591.3734542298992
45,1995,10,180.87739400134097,266.3713030047056,366.334361430899,602.2907074618292
46,1995,11,188.4377224494383,275.7163619032005,378.1271086853419,618.0977899023487
47,1995,12,197.54954428960832,287.41151323692804,393.8372062914639,641.3411566316506
48,1996,1,205.80460252871796,299.2616502652477,411.045010156588,672.200894530348
49,1996,2,210.9180416493114,306.8413102608033,419.9338765183964,686.5359735819748
50,1996,3,215.13388199028833,312.6271053764811,428.2039128164804,699.2639695017833
51,1996,4,222.31208596782216,321.7304398656095,438.69047099349996,713.8234422104731
52,1996,5,229.07549317549305,330.75728875371914,447.937450578734,727.9576710674183
53,1996,6,233.70264753940032,337.1220628573767,456.6050266469229,741.9125820354387
54,1996,7,236.79287103477924,341.73363116204445,462.78781688535344,751.7964929412219
55,1996,8,239.00758055408986,345.3519118041862,468.7909971214481,761.9595085555559
56,1996,9,243.22153922453336,350.87834870851134,478.0498522136594,777.1669524123729
57,1996,10,246.87223993277306,355.93536336377025,485.8391896155383,790.3721347307201
58,1996,11,251.15861283596766,360.74354898969636,494.7974491782801,802.8308080882945
59,1996,12,257.86806189353615,370.178619801332,510.9648945349806,828.8961742016745
60,1997,1,267.3451066676203,382.5226425307788,524.9286158869488,847.599105102691
61,1997,2,268.848558727621,386.5728717654422,530.7496773178403,859.7775459479451
62,1997,3,269.1387057526027,388.26198495088715,534.5617446226415,867.8104718268546
63,1997,4,271.48136134179646,391.9436111465061,539.2494590552465,875.8595814950124
64,1997,5,272.71097590317845,394.0264527805765,542.4992941751998,882.9045238499019
65,1997,6,273.67041719601343,396.39931844539126,546.4019092320931,890.7848324748586
66,1997,7,277.04361440658573,400.8126269948113,552.474968730468,899.956498712967
67,1997,8,279.71693186027744,404.45738953514217,558.232413092268,909.3658949149333
68,1997,9,282.61120598891097,408.0080262224688,566.2996656017549,924.0059656449246
69,1997,10,282.74619961254405,409.66435479935814,569.9864281801866,932.2935649333615
70,1997,11,285.09543337474963,413.07084478294155,576.9000928249037,943.9557283683286
71,1997,12,290.3705818948348,419.42133069458384,586.1425395247537,957.1358761183529
72,1998,1,298.5890919890658,431.41937048846626,599.9084581656073,979.6127235862863
73,1998,2,308.8265078237963,444.2469074130366,614.7039796349588,1000.6934382172722
74,1998,3,313.39147984198763,449.84321333046313,622.5936057111034,1012.2005572442772
75,1998,4,313.78981291797436,451.73749902435185,625.9743217475107,1019.0758904539034
76,1998,5,313.4599980777008,452.6924212002644,626.0880991163344,1020.6625909767226
77,1998,6,315.2454418122172,454.6661410277281,630.5799529809926,1027.1270369702206
78,1998,7,320.21478386867415,459.6735394286432,638.1675200359932,1035.999934864677
79,1998,8,324.5819424512481,466.2940730485832,646.0765910355392,1048.6974470943687
80,1998,9,329.64146649943405,473.61502737539536,658.1481497584666,1069.321370877914
81,1998,10,336.4295530554944,482.10307151149755,669.0616743211195,1084.328925288381
82,1998,11,341.8417860680288,488.72195234797,681.0850958329163,1101.4672845302234
83,1998,12,355.91793519964233,504.7445071199633,702.6637300476481,1129.8139614160377
84,1999,1,371.6887725026074,521.7386753389582,724.4713578345854,1156.2332134461396
85,1999,2,370.68856575580844,523.6663528125243,729.2738828043009,1167.3122034316311
86,1999,3,365.76181713841845,521.6940576640976,730.3493655487214,1176.6797446783717
87,1999,4,364.18311320599105,521.7094060066803,732.7499151487623,1184.0309190940616
88,1999,5,364.3622476106818,523.1735358038736,733.2993730867852,1185.3206017836965
89,1999,6,364.52377574522137,524.6501977161296,736.6211042124518,1191.7352271234017
90,1999,7,366.08972862978834,527.3636773662497,740.9009450678091,1199.6540150800452
91,1999,8,366.4977018614702,529.2670396495006,744.736373950127,1207.3110850992318
92,1999,9,366.4617693331295,530.0617637385244,751.7847305532163,1222.1928594359958
93,1999,10,366.9918664930298,531.8830418754967,755.847402433355,1229.5465876566468
94,1999,11,367.95527096362423,533.1934368165294,763.6199152060537,1242.1781988352586
95,1999,12,375.3641727526554,541.4882247235745,774.2256415643619,1255.1747879111635
96,2000,1,381.0382710322356,548.3779879768928,784.4522502351226,1270.0636383058563
97,2000,2,380.17546772349385,549.0354545177571,788.1612831446,1278.8021649911059
98,2000,3,379.2653293679496,548.8270404514228,790.2607260517686,1283.3551060139418
99,2000,4,379.27669731982814,548.2805641044649,791.4119175864239,1284.620835885971
100,2000,5,382.70140994310486,552.5327451449768,793.4615569157495,1286.045251190384
101,2000,6,388.09687292537404,558.3347402021631,800.1824325827887,1294.1436674481724
102,2000,7,391.5707355890437,562.5208328720481,805.40170268918,1300.952230057033
103,2000,8,393.27474033705056,565.9502426734015,809.7594414226212,1309.5309691946652
104,2000,9,392.370988391129,566.0703395342883,813.9060534718428,1319.8234887252643
105,2000,10,395.38094193687635,569.1971374588414,820.8822071203231,1332.098632751689
106,2000,11,397.8530817893011,572.8089570200952,829.5928964266913,1345.879878958965
107,2000,12,409.5649134999298,585.1446683557705,843.9447846259782,1362.340152362537
108,2001,1,408.6905564862935,585.6536630415677,845.5019233142112,1367.2438329973406
109,2001,2,396.6748172332581,575.4565035315466,836.8437277719706,1362.9474818479973
110,2001,3,398.6975899891077,578.1305252401266,841.731713336151,1372.5397810952375
111,2001,4,401.95012999902855,581.8644562398033,845.0338660125434,1376.4548873415697
112,2001,5,404.82148095147556,584.8518484818276,845.1463888259641,1374.5205701335353
113,2001,6,405.3127534959001,585.8830963989539,846.9257513555889,1377.8499012269235
114,2001,7,403.98491877375693,585.514420419442,844.8592108130931,1376.2910282602832
115,2001,8,411.13691573699776,593.4816044541992,853.5282707164183,1387.4897138739168
116,2001,9,413.8920651923123,596.4019286793225,862.08166461428,1402.825353882943
117,2001,10,418.7895016175601,601.0320642697534,868.1310992170464,1409.919732171748
118,2001,11,419.795085578596,602.1085896636079,874.1976886101168,1419.718569296414
119,2001,12,422.2307927612941,606.556924729239,877.5371023425532,1425.5578925701298
120,2002,1,428.3897090676566,614.9259102224443,888.3200302198554,1443.6592915666663
121,2002,2,414.1761411749577,603.5576285296665,880.769422731662,1444.326597086732
122,2002,3,414.09465532310065,604.0714065044333,883.179704478317,1449.5403234388127
123,2002,4,419.59196502605096,610.284900787933,889.737398506117,1457.075616825378
124,2002,5,422.94926586761613,613.2671300081741,889.9036945836046,1454.151409926888
125,2002,6,427.639510018479,618.2907535338292,895.4009241185314,1460.624580205047
126,2002,7,431.7548887742102,622.8360057156742,899.408722599103,1464.9607050218074
127,2002,8,431.3214400980157,623.4202507454451,900.9293798104783,1469.272067076376
128,2002,9,430.12966738255915,623.0456360114155,904.4724333716042,1478.8374511538323
129,2002,10,429.7727261215944,622.9069438131687,906.9672771554588,1483.5877921709343
130,2002,11,435.0958029560777,629.4273459733616,917.7889920808893,1500.063001411537
131,2002,12,447.07232882306135,641.2019885456201,930.9490198040714,1513.610394534058
132,2003,1,445.86065389921464,641.1285557419793,931.8936729379435,1517.0775090197435
133,2003,2,441.50316033060386,638.6569624134577,929.21217816804,1517.9076393495836
134,2003,3,452.0945169945548,650.1757356249844,941.6032052124137,1532.2364736615991
135,2003,4,445.041406987985,644.508064695785,934.6778013355422,1526.6239244551284
136,2003,5,445.4929827545556,644.7830255636984,930.6303870823494,1518.2673855553205
137,2003,6,445.6808499833569,644.5116653046447,931.2768342591078,1518.7458643880925
138,2003,7,451.52747973041517,650.1374921849024,937.0988308859321,1524.1362587858066
139,2003,8,448.96502302807386,647.8001038240111,936.2298842961162,1525.6433008760418
140,2003,9,452.59930820853475,651.559337888717,943.2606335329265,1536.1842125022606
141,2003,10,454.278765413667,653.0876044513087,946.9362528061354,1541.065495949278
142,2003,11,459.95075044836585,659.9221221393443,960.1304357494164,1561.4025171885141
143,2003,12,472.0652716995445,673.5319246617414,972.6787003881593,1575.5988487693562
144,2004,1,471.34091214351406,675.7450181819403,975.3354376316144,1583.2213171611957
145,2004,2,466.24857364217695,672.7938934770717,973.3828348713969,1585.816759512118
146,2004,3,466.05579786939995,673.5677507090433,974.9055245595945,1589.4496588976542
147,2004,4,470.3493758074222,678.030788762037,979.9076704161564,1595.0351676256048
148,2004,5,472.92908700755356,681.4985518218762,978.0472246591875,1590.0688266803231
149,2004,6,466.29550048144654,675.7791665598919,972.6220887331654,1586.4760505490976
150,2004,7,468.88146984088115,678.8959140515555,976.3182890286329,1591.4064260134726
151,2004,8,479.7535061337711,690.703487364905,989.0844820162366,1606.9377922328977
152,2004,9,495.6624227879319,708.5427795639768,1008.9874423004173,1632.7942468525293
153,2004,10,513.7425251642854,727.7220081256293,1029.4927202513854,1655.979327080102
154,2004,11,521.480854040559,735.8509589358957,1044.5571364938187,1677.0416703108394
155,2004,12,514.8520417532953,731.2614952089872,1039.5075931584133,1674.6756581078535
156,2005,1,492.6598360299856,711.4747115802903,1019.564017730703,1658.5826535057727
157,2005,2,488.99451636614094,708.6513453634773,1017.2128871278021,1657.5487002886389
158,2005,3,496.68192931551823,717.4906639396286,1026.5050701648975,1668.705746030726
159,2005,4,517.0251958619228,737.7001396259362,1046.2087099329133,1687.4889181761434
160,2005,5,528.928460247097,749.9635625184372,1051.4313387147142,1687.1945308618792
161,2005,6,514.1883439411969,736.7961057149265,1038.1480219233536,1676.35165096228
162,2005,7,518.9956287986373,741.4546143072374,1043.4479240675666,1681.750644062974
163,2005,8,516.16944473447,739.6294077319053,1042.251716953805,1683.1228980285846
164,2005,9,515.3570042455102,740.0307251377294,1045.5234624208372,1691.4744884139118
165,2005,10,509.45262148026376,735.2191806315342,1042.919057383961,1692.2357075466266
166,2005,11,502.0287033447728,728.9388575599002,1045.2760226533514,1703.5715210470366
167,2005,12,518.6198884865576,745.2724328200317,1063.8338441285027,1723.0517646505175
168,2006,1,531.4791305571221,758.6127159715799,1078.7581486978374,1739.7889191208117
169,2006,2,530.0050033471803,757.3846979501105,1077.6029041967456,1739.2564606137885
170,2006,3,518.110585933622,746.736956885784,1067.222921816383,1731.0803375105036
171,2006,4,517.2983809640515,746.6736604857393,1065.5925460645285,1729.1335723658844
172,2006,5,521.8420546043308,751.7679345310293,1062.4628813594368,1720.3667138426795
173,2006,6,515.1738729982144,747.1957253414258,1057.0417556357634,1717.906169628886
174,2006,7,515.4226679658193,748.0142356936036,1058.2661739651571,1720.2832322616227
175,2006,8,525.9475886183585,757.0832730062076,1070.5662595183585,1732.5897011062075
176,2006,9,558.6866762054178,787.6125725109639,1106.4034538444873,1769.3009512634458
177,2006,10,569.8466159150762,798.958618469103,1120.6970454654522,1785.8086381247763
