,WEI,WEI29,WEI28,Year,Month,Day
0,1.4,1.42,1.41,2008,1,5
1,1.43,1.46,1.45,2008,1,12
2,1.38,1.4,1.4,2008,1,19
3,0.95,0.96,0.95,2008,1,26
4,0.71,0.73,0.72,2008,2,2
5,0.77,0.78,0.77,2008,2,9
6,1.16,1.18,1.17,2008,2,16
7,0.89,0.91,0.9,2008,2,23
8,0.93,0.95,0.94,2008,3,1
9,0.51,0.52,0.51,2008,3,8
10,0.65,0.66,0.65,2008,3,15
11,0.72,0.73,0.72,2008,3,22
12,0.95,0.96,0.95,2008,3,29
13,1.04,1.06,1.05,2008,4,5
14,0.83,0.85,0.84,2008,4,12
15,0.97,0.99,0.98,2008,4,19
16,0.45,0.46,0.46,2008,4,26
17,0.47,0.48,0.47,2008,5,3
18,0.51,0.52,0.51,2008,5,10
19,0.44,0.45,0.44,2008,5,17
20,0.4,0.41,0.4,2008,5,24
21,0.4,0.41,0.4,2008,5,31
22,0.5,0.51,0.5,2008,6,7
23,0.33,0.34,0.33,2008,6,14
24,0.13,0.14,0.13,2008,6,21
25,0.5,0.51,0.5,2008,6,28
26,0.85,0.87,0.86,2008,7,5
27,0.29,0.3,0.29,2008,7,12
28,0.1,0.11,0.1,2008,7,19
29,0.15,0.16,0.15,2008,7,26
30,0.24,0.25,0.24,2008,8,2
31,0.08,0.09,0.08,2008,8,9
32,-0.04,-0.03,-0.04,2008,8,16
33,0.0,0.01,0.0,2008,8,23
34,0.06,0.06,0.05,2008,8,30
35,-0.04,-0.03,-0.04,2008,9,6
36,-0.38,-0.38,-0.39,2008,9,13
37,-0.75,-0.75,-0.76,2008,9,20
38,-0.86,-0.86,-0.88,2008,9,27
39,-0.88,-0.88,-0.89,2008,10,4
40,-0.97,-0.97,-0.98,2008,10,11
41,-0.93,-0.93,-0.95,2008,10,18
42,-1.0,-1.01,-1.02,2008,10,25
43,-1.09,-1.09,-1.1,2008,11,1
44,-1.68,-1.69,-1.7,2008,11,8
45,-2.11,-2.13,-2.14,2008,11,15
46,-1.25,-1.26,-1.27,2008,11,22
47,-2.54,-2.56,-2.58,2008,11,29
48,-2.53,-2.55,-2.57,2008,12,6
49,-2.39,-2.41,-2.42,2008,12,13
50,-2.94,-2.97,-2.98,2008,12,20
51,-2.83,-2.86,-2.87,2008,12,27
52,-3.14,-3.16,-3.18,2009,1,3
53,-3.25,-3.28,-3.29,2009,1,10
54,-3.27,-3.3,-3.32,2009,1,17
55,-2.93,-2.95,-2.97,2009,1,24
56,-3.26,-3.29,-3.31,2009,1,31
57,-3.22,-3.25,-3.27,2009,2,7
58,-3.58,-3.61,-3.63,2009,2,14
59,-3.68,-3.71,-3.72,2009,2,21
60,-3.9,-3.93,-3.95,2009,2,28
61,-3.54,-3.57,-3.59,2009,3,7
62,-3.48,-3.51,-3.52,2009,3,14
63,-3.21,-3.23,-3.25,2009,3,21
64,-3.59,-3.62,-3.64,2009,3,28
65,-3.38,-3.4,-3.42,2009,4,4
66,-3.41,-3.44,-3.45,2009,4,11
67,-3.71,-3.74,-3.76,2009,4,18
68,-3.39,-3.42,-3.44,2009,4,25
69,-3.34,-3.37,-3.38,2009,5,2
70,-3.51,-3.54,-3.56,2009,5,9
71,-3.43,-3.45,-3.47,2009,5,16
72,-3.32,-3.34,-3.36,2009,5,23
73,-3.46,-3.49,-3.5,2009,5,30
74,-3.72,-3.76,-3.77,2009,6,6
75,-3.66,-3.69,-3.71,2009,6,13
76,-3.47,-3.5,-3.52,2009,6,20
77,-3.66,-3.69,-3.7,2009,6,27
78,-3.26,-3.28,-3.3,2009,7,4
79,-3.53,-3.56,-3.58,2009,7,11
80,-3.34,-3.37,-3.38,2009,7,18
81,-3.38,-3.41,-3.43,2009,7,25
82,-3.08,-3.11,-3.12,2009,8,1
83,-3.02,-3.05,-3.06,2009,8,8
84,-2.72,-2.75,-2.76,2009,8,15
85,-2.64,-2.66,-2.68,2009,8,22
86,-2.56,-2.58,-2.59,2009,8,29
87,-2.07,-2.08,-2.09,2009,9,5
88,-2.24,-2.26,-2.27,2009,9,12
89,-1.67,-1.68,-1.69,2009,9,19
90,-1.58,-1.59,-1.6,2009,9,26
91,-1.31,-1.32,-1.33,2009,10,3
92,-1.05,-1.05,-1.06,2009,10,10
93,-0.94,-0.95,-0.96,2009,10,17
94,-0.72,-0.72,-0.73,2009,10,24
95,-0.4,-0.4,-0.41,2009,10,31
96,-0.04,-0.04,-0.05,2009,11,7
97,0.43,0.44,0.43,2009,11,14
98,0.77,0.79,0.78,2009,11,21
99,1.29,1.31,1.3,2009,11,28
100,1.02,1.04,1.03,2009,12,5
101,1.19,1.21,1.2,2009,12,12
102,2.1,2.13,2.12,2009,12,19
103,2.33,2.37,2.36,2009,12,26
104,1.81,1.84,1.83,2010,1,2
105,1.78,1.8,1.79,2010,1,9
106,1.93,1.95,1.95,2010,1,16
107,1.86,1.88,1.87,2010,1,23
108,2.22,2.25,2.25,2010,1,30
109,2.55,2.58,2.58,2010,2,6
110,2.52,2.56,2.55,2010,2,13
111,3.09,3.13,3.12,2010,2,20
112,3.36,3.4,3.39,2010,2,27
113,3.48,3.52,3.52,2010,3,6
114,3.46,3.5,3.5,2010,3,13
115,3.4,3.44,3.44,2010,3,20
116,3.91,3.96,3.96,2010,3,27
117,3.65,3.69,3.69,2010,4,3
118,3.66,3.7,3.7,2010,4,10
119,3.82,3.87,3.86,2010,4,17
120,3.87,3.92,3.92,2010,4,24
121,4.09,4.14,4.14,2010,5,1
122,4.27,4.32,4.31,2010,5,8
123,4.12,4.17,4.17,2010,5,15
124,3.82,3.87,3.87,2010,5,22
125,4.57,4.63,4.62,2010,5,29
126,4.08,4.13,4.13,2010,6,5
127,3.99,4.04,4.04,2010,6,12
128,4.15,4.2,4.2,2010,6,19
129,4.06,4.12,4.11,2010,6,26
130,4.42,4.47,4.47,2010,7,3
131,3.57,3.62,3.61,2010,7,10
132,3.68,3.72,3.72,2010,7,17
133,4.03,4.08,4.07,2010,7,24
134,3.74,3.79,3.78,2010,7,31
135,3.65,3.69,3.69,2010,8,7
136,3.56,3.6,3.6,2010,8,14
137,3.66,3.71,3.7,2010,8,21
138,3.54,3.58,3.58,2010,8,28
139,3.77,3.82,3.81,2010,9,4
140,3.53,3.58,3.57,2010,9,11
141,3.33,3.37,3.37,2010,9,18
142,3.54,3.59,3.58,2010,9,25
143,3.28,3.32,3.31,2010,10,2
144,2.99,3.03,3.02,2010,10,9
145,3.19,3.23,3.23,2010,10,16
146,3.44,3.49,3.48,2010,10,23
147,3.23,3.27,3.26,2010,10,30
148,3.27,3.31,3.31,2010,11,6
149,3.15,3.19,3.19,2010,11,13
150,3.03,3.07,3.06,2010,11,20
151,3.2,3.24,3.24,2010,11,27
152,3.4,3.45,3.44,2010,12,4
153,3.13,3.17,3.17,2010,12,11
154,3.0,3.04,3.03,2010,12,18
155,3.86,3.91,3.9,2010,12,25
156,3.3,3.35,3.34,2011,1,1
157,3.01,3.05,3.04,2011,1,8
158,3.0,3.04,3.03,2011,1,15
159,2.88,2.92,2.91,2011,1,22
160,3.0,3.04,3.03,2011,1,29
161,2.69,2.73,2.72,2011,2,5
162,3.09,3.13,3.12,2011,2,12
163,2.93,2.97,2.97,2011,2,19
164,2.79,2.82,2.82,2011,2,26
165,2.71,2.75,2.74,2011,3,5
166,2.74,2.78,2.77,2011,3,12
167,2.79,2.83,2.82,2011,3,19
168,2.54,2.58,2.57,2011,3,26
169,2.72,2.76,2.75,2011,4,2
170,2.84,2.88,2.87,2011,4,9
171,2.78,2.82,2.81,2011,4,16
172,2.65,2.69,2.68,2011,4,23
173,2.21,2.24,2.23,2011,4,30
174,2.03,2.06,2.06,2011,5,7
175,2.4,2.43,2.42,2011,5,14
176,2.29,2.32,2.32,2011,5,21
177,2.16,2.19,2.18,2011,5,28
178,2.33,2.36,2.35,2011,6,4
179,2.24,2.27,2.27,2011,6,11
180,2.23,2.26,2.25,2011,6,18
181,1.95,1.98,1.97,2011,6,25
182,2.36,2.4,2.39,2011,7,2
183,2.16,2.2,2.19,2011,7,9
184,2.08,2.11,2.11,2011,7,16
185,2.07,2.1,2.09,2011,7,23
186,2.43,2.46,2.45,2011,7,30
187,2.47,2.5,2.5,2011,8,6
188,1.99,2.02,2.01,2011,8,13
189,1.93,1.96,1.95,2011,8,20
190,2.15,2.18,2.17,2011,8,27
191,2.02,2.05,2.04,2011,9,3
192,1.93,1.96,1.95,2011,9,10
193,1.99,2.02,2.02,2011,9,17
194,1.91,1.94,1.93,2011,9,24
195,2.21,2.24,2.23,2011,10,1
196,2.29,2.32,2.31,2011,10,8
197,2.1,2.13,2.12,2011,10,15
198,1.8,1.82,1.82,2011,10,22
199,2.19,2.22,2.21,2011,10,29
200,2.05,2.08,2.07,2011,11,5
201,2.1,2.13,2.13,2011,11,12
202,2.0,2.03,2.02,2011,11,19
203,2.03,2.06,2.05,2011,11,26
204,1.86,1.88,1.87,2011,12,3
205,1.7,1.73,1.72,2011,12,10
206,2.23,2.26,2.25,2011,12,17
207,2.25,2.28,2.27,2011,12,24
208,1.83,1.85,1.84,2011,12,31
209,1.57,1.59,1.58,2012,1,7
210,1.61,1.63,1.63,2012,1,14
211,1.95,1.98,1.97,2012,1,21
212,1.44,1.46,1.45,2012,1,28
213,1.7,1.73,1.72,2012,2,4
214,1.73,1.76,1.75,2012,2,11
215,1.63,1.65,1.64,2012,2,18
216,1.81,1.84,1.83,2012,2,25
217,1.73,1.76,1.75,2012,3,3
218,1.89,1.91,1.91,2012,3,10
219,1.61,1.64,1.63,2012,3,17
220,1.99,2.01,2.01,2012,3,24
221,2.2,2.23,2.22,2012,3,31
222,2.21,2.24,2.23,2012,4,7
223,2.02,2.05,2.05,2012,4,14
224,2.01,2.04,2.03,2012,4,21
225,2.42,2.45,2.44,2012,4,28
226,2.56,2.6,2.59,2012,5,5
227,2.16,2.19,2.19,2012,5,12
228,2.12,2.15,2.14,2012,5,19
229,2.32,2.35,2.34,2012,5,26
230,2.03,2.06,2.05,2012,6,2
231,2.01,2.03,2.03,2012,6,9
232,1.98,2.01,2.0,2012,6,16
233,2.12,2.15,2.14,2012,6,23
234,2.23,2.26,2.26,2012,6,30
235,2.18,2.22,2.21,2012,7,7
236,1.93,1.96,1.95,2012,7,14
237,1.81,1.83,1.83,2012,7,21
238,1.87,1.9,1.89,2012,7,28
239,2.1,2.13,2.13,2012,8,4
240,2.23,2.26,2.25,2012,8,11
241,1.98,2.01,2.0,2012,8,18
242,1.78,1.81,1.8,2012,8,25
243,2.21,2.24,2.24,2012,9,1
244,2.31,2.34,2.33,2012,9,8
245,2.09,2.12,2.11,2012,9,15
246,2.02,2.05,2.04,2012,9,22
247,2.14,2.17,2.16,2012,9,29
248,2.12,2.15,2.14,2012,10,6
249,2.08,2.11,2.1,2012,10,13
250,2.01,2.04,2.03,2012,10,20
251,1.94,1.97,1.96,2012,10,27
252,1.43,1.45,1.44,2012,11,3
253,1.53,1.56,1.55,2012,11,10
254,2.01,2.04,2.03,2012,11,17
255,2.27,2.3,2.29,2012,11,24
256,1.98,2.0,2.0,2012,12,1
257,1.63,1.66,1.65,2012,12,8
258,1.99,2.02,2.01,2012,12,15
259,2.24,2.27,2.26,2012,12,22
260,2.07,2.1,2.09,2012,12,29
261,2.22,2.25,2.25,2013,1,5
262,2.33,2.36,2.35,2013,1,12
263,2.17,2.2,2.2,2013,1,19
264,2.39,2.42,2.42,2013,1,26
265,2.2,2.23,2.22,2013,2,2
266,1.95,1.98,1.97,2013,2,9
267,2.1,2.13,2.13,2013,2,16
268,2.04,2.07,2.06,2013,2,23
269,2.05,2.08,2.07,2013,3,2
270,1.85,1.88,1.87,2013,3,9
271,1.92,1.95,1.94,2013,3,16
272,1.9,1.93,1.92,2013,3,23
273,1.68,1.7,1.69,2013,3,30
274,1.76,1.78,1.77,2013,4,6
275,1.59,1.62,1.61,2013,4,13
276,1.89,1.92,1.91,2013,4,20
277,1.65,1.67,1.67,2013,4,27
278,1.54,1.57,1.56,2013,5,4
279,1.68,1.7,1.7,2013,5,11
280,2.04,2.07,2.06,2013,5,18
281,1.69,1.71,1.71,2013,5,25
282,2.07,2.1,2.09,2013,6,1
283,1.8,1.82,1.81,2013,6,8
284,2.17,2.2,2.19,2013,6,15
285,2.12,2.15,2.14,2013,6,22
286,2.29,2.32,2.31,2013,6,29
287,2.23,2.26,2.25,2013,7,6
288,2.16,2.19,2.18,2013,7,13
289,2.35,2.38,2.37,2013,7,20
290,2.1,2.13,2.12,2013,7,27
291,2.11,2.14,2.13,2013,8,3
292,2.08,2.11,2.11,2013,8,10
293,2.12,2.15,2.14,2013,8,17
294,2.37,2.4,2.4,2013,8,24
295,2.59,2.63,2.62,2013,8,31
296,2.66,2.7,2.69,2013,9,7
297,2.7,2.74,2.73,2013,9,14
298,2.33,2.36,2.36,2013,9,21
299,2.27,2.3,2.29,2013,9,28
300,2.22,2.25,2.24,2013,10,5
301,2.03,2.06,2.05,2013,10,12
302,2.05,2.08,2.07,2013,10,19
303,2.45,2.48,2.47,2013,10,26
304,2.97,3.01,3.0,2013,11,2
305,2.42,2.45,2.44,2013,11,9
306,2.37,2.41,2.4,2013,11,16
307,3.3,3.34,3.33,2013,11,23
308,2.36,2.4,2.39,2013,11,30
309,1.85,1.88,1.87,2013,12,7
310,2.1,2.13,2.12,2013,12,14
311,2.63,2.66,2.66,2013,12,21
312,2.46,2.49,2.49,2013,12,28
313,2.05,2.08,2.08,2014,1,4
314,1.48,1.5,1.5,2014,1,11
315,1.66,1.68,1.67,2014,1,18
316,2.04,2.06,2.06,2014,1,25
317,1.9,1.93,1.92,2014,2,1
318,1.69,1.72,1.71,2014,2,8
319,1.78,1.81,1.8,2014,2,15
320,1.91,1.94,1.93,2014,2,22
321,2.09,2.12,2.11,2014,3,1
322,2.35,2.38,2.37,2014,3,8
323,2.51,2.54,2.54,2014,3,15
324,2.46,2.5,2.49,2014,3,22
325,2.53,2.56,2.56,2014,3,29
326,2.63,2.67,2.66,2014,4,5
327,2.49,2.52,2.51,2014,4,12
328,2.16,2.19,2.18,2014,4,19
329,2.37,2.4,2.4,2014,4,26
330,2.54,2.58,2.57,2014,5,3
331,2.71,2.74,2.73,2014,5,10
332,2.16,2.19,2.18,2014,5,17
333,2.58,2.62,2.61,2014,5,24
334,2.49,2.53,2.52,2014,5,31
335,2.34,2.38,2.37,2014,6,7
336,2.35,2.38,2.38,2014,6,14
337,2.26,2.29,2.28,2014,6,21
338,2.05,2.08,2.07,2014,6,28
339,2.82,2.86,2.85,2014,7,5
340,2.39,2.42,2.42,2014,7,12
341,2.12,2.15,2.14,2014,7,19
342,2.33,2.37,2.36,2014,7,26
343,2.71,2.75,2.74,2014,8,2
344,2.45,2.48,2.47,2014,8,9
345,2.37,2.4,2.4,2014,8,16
346,2.47,2.5,2.5,2014,8,23
347,2.56,2.6,2.59,2014,8,30
348,2.29,2.32,2.32,2014,9,6
349,2.3,2.33,2.32,2014,9,13
350,2.45,2.49,2.48,2014,9,20
351,2.49,2.53,2.52,2014,9,27
352,2.65,2.68,2.68,2014,10,4
